ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
69,147,3,65,38,0,0,100,150,7,7,41,4,44,1,4,4,51,73,3,3,1,46,0
66,98,6,13,2,0,0,100,150,7,7,0,1,100,150,1,0,46,61,1,1,0,100,0
68,141,1,62,26,1,1,93,15,1,2,28,1,11,0,2,0,39,1,5,2,1,50,0
87,182,3,83,20,0,0,100,150,7,7,13,4,35,150,0,0,5,54,5,2,0,47,0
80,263,21,116,25,0,0,100,150,7,7,25,0,64,21,0,0,48,54,3,2,0,71,0
82,272,3,106,26,1,1,89,10,6,4,28,1,32,0,0,0,7,72,2,2,0,38,0
59,162,33,74,11,2,2,71,9,6,3,14,0,43,150,0,0,83,17,4,3,1,100,0
71,285,3,84,25,1,0,93,26,1,5,27,1,33,0,7,7,30,38,2,4,1,78,0
73,126,12,61,11,0,0,100,150,7,7,11,0,45,0,1,1,71,57,4,3,2,88,0
83,175,26,69,16,0,0,100,150,7,7,16,0,38,0,1,1,4,43,2,2,0,40,0
82,69,21,41,10,0,0,100,150,7,7,10,0,10,0,1,1,13,78,1,1,0,67,0
72,198,13,91,16,0,0,94,53,1,6,18,0,39,0,1,1,88,86,5,2,2,100,0
57,258,1,119,41,2,2,91,1,6,2,19,3,18,0,2,2,12,70,6,2,2,38,0
84,210,3,68,16,0,0,100,150,7,7,16,3,56,6,0,0,2,73,2,5,0,73,0
78,128,3,54,7,0,0,100,150,7,7,8,3,63,0,2,2,42,2,1,2,0,100,0
69,142,6,57,10,1,1,67,30,1,4,14,2,42,150,1,1,73,99,3,3,1,100,0
64,152,3,80,31,0,0,94,3,6,6,42,2,22,12,0,0,18,94,6,1,1,50,0
65,159,28,49,11,0,0,91,14,1,6,22,0,27,9,0,0,52,50,4,1,1,83,0
69,118,2,42,20,1,0,91,27,1,5,22,7,23,150,4,4,14,88,4,1,0,55,0
64,252,29,127,3,1,1,100,150,1,7,3,0,100,1,0,0,50,4,1,1,1,100,0
65,12,12,12,1,0,0,100,150,7,7,1,0,100,150,1,1,63,92,1,1,0,100,0
66,8,1,4,1,0,0,100,150,7,7,3,3,33,2,4,4,45,89,1,1,0,67,0
68,191,7,67,25,1,1,89,20,1,3,32,2,22,15,1,0,51,44,9,2,5,73,1
70,158,7,77,25,0,0,96,21,1,6,39,1,12,150,2,2,15,48,8,1,1,67,1
85,232,2,105,26,0,0,100,150,7,7,41,2,39,0,2,2,5,59,3,3,1,46,1
75,143,1,53,27,0,0,97,29,1,6,18,6,45,1,1,1,10,89,3,6,0,64,1
60,349,1,74,16,1,1,95,4,4,4,19,4,58,0,3,3,59,29,5,3,1,73,1
81,345,19,112,22,0,0,95,35,1,6,22,0,41,23,0,0,1,23,2,3,0,45,1
66,288,13,80,32,0,0,85,2,6,6,33,0,33,12,0,0,43,82,5,1,1,60,1
72,225,3,68,28,0,0,96,18,1,6,28,4,18,150,0,0,25,100,5,2,1,50,1
87,165,26,103,20,0,0,100,150,7,7,17,0,60,150,0,0,0,55,1,3,0,50,1
77,218,8,72,25,0,0,96,74,1,6,25,3,52,2,1,1,32,69,3,4,0,64,1
63,104,3,42,13,3,3,87,29,2,3,15,3,40,150,4,4,41,100,5,6,0,85,1
84,209,47,118,11,0,0,100,150,7,7,14,0,36,6,0,0,11,37,3,1,0,67,1
64,179,1,37,14,0,0,100,150,7,7,22,9,40,0,5,5,52,100,5,6,2,73,1
77,181,4,68,27,1,0,89,30,1,5,28,2,46,0,1,1,4,69,3,2,0,45,1
76,97,9,44,14,0,0,100,150,7,7,14,2,21,0,1,1,32,43,3,2,0,63,1
64,97,10,50,22,0,0,95,15,1,6,24,1,41,150,0,0,68,64,2,2,2,44,1
86,148,2,77,24,0,0,96,47,1,6,26,1,46,2,2,2,3,73,2,3,0,33,1
82,336,33,142,15,0,0,100,150,7,7,15,0,13,0,1,1,29,48,4,1,1,57,1
79,284,4,96,51,0,0,98,24,1,6,53,3,42,0,2,2,10,62,3,1,0,40,1
84,347,11,74,19,0,0,95,45,1,6,19,1,32,0,1,1,4,81,5,2,0,64,1
90,135,9,76,16,0,0,100,150,7,7,16,1,56,0,0,0,3,58,1,2,0,75,1
87,196,30,117,19,0,0,100,150,7,7,20,0,30,0,0,0,7,37,5,2,0,71,1
85,143,26,79,26,0,0,100,150,7,7,27,0,15,0,2,2,3,53,3,1,0,50,1
72,370,4,70,20,0,0,100,150,7,7,20,3,40,0,1,1,73,50,2,7,2,83,1
84,317,2,132,26,0,0,100,150,7,7,27,2,22,0,0,0,16,51,5,3,1,57,1
80,169,23,76,12,0,0,92,19,1,6,12,0,0,0,1,1,5,74,3,1,0,30,1
80,257,10,70,20,0,0,100,150,7,7,20,1,20,2,1,1,1,61,4,2,0,55,1
85,140,11,75,16,0,0,100,150,7,7,16,1,31,0,0,0,13,20,2,2,0,67,1
86,232,1,75,21,0,0,100,150,7,7,23,2,17,0,2,2,1,51,2,2,0,29,1
76,150,17,75,27,0,0,96,30,1,6,27,0,22,0,2,2,14,65,4,1,1,42,1
86,199,1,83,17,0,0,100,150,7,7,19,3,37,0,2,2,1,21,1,3,1,33,1
83,221,3,76,33,0,0,100,150,7,7,35,3,21,4,1,1,7,61,3,3,0,29,1
63,497,2,135,21,2,1,85,2,6,4,26,2,35,3,2,2,38,67,7,4,1,69,1
64,209,15,62,43,0,0,100,150,7,7,43,0,47,3,2,2,91,47,3,2,2,63,1
83,217,1,73,34,0,0,100,150,7,7,39,2,21,1,1,1,7,48,6,2,1,57,1
83,306,2,92,30,0,0,100,150,7,7,32,3,22,3,0,0,18,62,5,1,1,43,1
82,141,19,80,7,0,0,100,150,7,7,7,0,29,1,0,0,44,72,2,3,0,100,1
81,162,13,66,17,0,0,100,150,7,7,17,0,12,0,1,1,3,74,2,1,0,43,1
70,200,6,95,23,0,0,96,14,1,6,24,1,58,0,3,3,34,75,5,4,0,82,1
74,295,8,91,23,0,0,79,22,1,6,24,4,29,0,0,0,17,73,4,2,0,75,1
85,193,8,90,19,0,0,100,150,7,7,19,3,16,0,2,2,18,79,2,1,0,60,1
71,417,17,123,28,1,0,72,9,6,5,25,0,23,9,0,0,13,68,12,1,0,81,1
63,292,1,107,15,1,1,94,1,4,3,17,1,18,0,1,1,16,77,4,1,0,56,1
82,233,2,92,56,0,0,100,150,7,7,66,9,49,0,1,1,8,64,2,13,2,62,1
68,222,2,93,32,0,0,97,16,1,6,37,1,35,0,2,2,62,83,5,1,2,60,1
83,154,4,57,13,0,0,93,30,1,6,14,1,43,0,0,0,4,80,1,4,1,45,1
78,175,7,68,44,0,0,100,150,1,1,45,3,62,0,3,3,17,92,5,2,0,70,1
77,149,3,69,18,0,0,94,7,6,6,18,2,72,10,0,0,13,82,1,4,0,71,1
75,189,7,61,27,2,0,90,22,1,5,29,2,62,150,0,0,0,110,1,6,0,70,1
87,433,87,198,6,0,0,100,150,7,7,7,0,0,0,0,0,13,35,1,1,0,25,1
64,110,4,50,14,1,1,94,43,1,2,17,1,47,0,2,2,70,91,2,2,0,80,1
77,251,29,111,23,3,1,89,43,1,5,27,0,56,0,1,1,2,42,3,2,0,63,1
92,399,43,150,30,0,0,100,150,7,7,30,0,3,9,0,0,1,24,4,1,0,33,1
67,279,3,80,51,0,0,94,13,1,6,52,2,37,0,1,1,45,86,15,4,3,70,1
59,274,3,98,27,0,0,93,1,6,6,28,2,21,0,1,1,54,82,8,2,4,65,1
82,190,2,52,25,0,0,100,150,7,7,26,4,23,5,0,0,11,50,6,3,0,47,1
79,322,1,92,27,0,0,100,150,7,7,30,3,20,1,2,2,18,101,6,3,1,56,1
77,167,24,110,23,0,0,100,150,7,7,26,0,31,15,0,0,51,45,4,2,1,67,1
82,115,4,58,24,1,0,96,50,1,5,25,4,52,4,1,1,2,52,1,4,0,71,1
68,86,2,32,26,0,0,100,150,7,7,28,5,25,0,4,4,22,92,5,3,0,57,1
83,143,9,59,27,0,0,100,150,7,7,27,1,37,0,1,1,4,73,2,1,0,33,1
78,274,4,98,5,0,0,100,150,7,7,6,2,67,0,2,2,0,80,0,2,0,50,1
66,331,6,94,24,0,0,92,45,1,6,26,7,25,150,0,0,56,91,6,3,3,64,1
80,138,4,61,18,0,0,94,39,1,6,18,2,11,17,1,0,0,88,2,2,1,29,1
89,147,1,145,13,0,0,100,150,7,7,19,1,7,150,2,2,2,16,1,1,0,25,1
72,233,6,98,36,0,0,100,150,7,7,38,2,34,0,1,1,63,70,5,1,2,55,1
79,136,9,87,15,0,0,100,150,7,7,15,1,27,150,0,0,47,77,5,1,1,75,1
63,268,2,81,20,0,0,82,4,6,6,23,3,45,12,0,0,50,100,6,3,1,82,1
91,215,19,98,13,0,0,100,150,7,7,14,0,14,7,0,0,0,64,1,1,0,25,1
84,154,16,66,11,0,0,100,150,7,7,0,0,50,10,0,0,4,66,2,1,0,67,1
80,202,12,85,25,0,0,100,150,7,7,43,0,32,0,2,2,3,6,2,4,0,86,1
90,172,30,84,9,0,0,100,150,7,7,9,0,33,150,0,0,4,47,1,1,0,29,1
78,215,9,74,41,0,0,100,150,7,7,44,2,37,150,0,0,35,80,3,4,1,88,1
77,193,23,43,8,0,0,100,150,7,7,18,0,13,150,0,0,45,9,5,1,0,86,1
70,98,3,43,17,0,0,100,150,7,7,17,2,35,2,3,3,36,73,2,1,1,75,1
65,247,5,87,50,0,0,96,3,6,6,52,3,16,4,1,1,11,22,10,2,1,55,1
84,260,12,125,15,0,0,100,150,7,7,15,0,40,5,1,1,29,73,2,1,0,60,1
86,204,7,61,18,0,0,100,150,7,7,20,1,20,150,0,0,13,79,2,1,0,43,1
83,108,14,57,15,0,0,100,150,7,7,15,0,27,0,2,2,6,54,3,2,0,56,1
91,340,18,152,15,0,0,100,150,7,7,15,0,7,12,0,0,3,57,2,1,0,22,1
55,134,68,97,5,1,1,67,7,2,6,6,0,50,1,1,1,0,29,0,1,1,33,1
75,162,8,77,40,0,0,100,150,7,7,42,1,20,7,0,0,27,80,5,2,1,64,1
65,100,9,40,15,0,0,93,9,6,6,15,3,47,0,0,0,50,65,3,2,0,71,1
72,199,15,83,20,0,0,80,37,1,6,20,0,45,14,0,0,54,90,1,2,1,75,1
77,438,7,145,12,1,1,92,61,1,4,13,1,8,0,3,3,18,66,1,1,0,60,1
75,99,5,56,38,0,0,100,150,7,7,40,3,55,0,1,1,41,76,6,3,0,75,1
69,17,17,17,1,0,0,100,150,0,7,1,0,100,0,0,0,69,75,2,3,1,93,1
88,450,33,169,14,0,0,100,150,7,7,14,0,14,8,0,0,0,37,2,1,0,50,1
85,182,13,74,10,0,0,100,150,7,7,10,0,50,18,0,0,12,34,4,2,0,86,1
68,269,0,38,12,1,1,88,29,1,2,10,4,25,4,3,3,35,96,5,2,0,78,1
83,244,3,69,33,0,0,100,150,7,7,34,3,15,4,1,1,1,85,6,2,0,38,1
84,140,2,54,8,0,0,100,150,7,7,9,2,33,3,2,1,10,89,1,3,0,67,1
62,164,7,64,21,0,0,86,5,6,6,21,1,19,0,0,0,70,52,5,1,1,75,1
84,159,3,75,21,0,0,96,28,1,6,26,1,46,3,2,2,0,84,1,3,0,57,1
68,108,4,29,17,1,0,94,9,5,5,0,5,0,0,5,5,9,78,4,2,1,42,1
79,463,3,88,45,0,0,100,150,7,7,46,5,20,3,1,1,12,98,3,2,0,56,1
80,318,2,84,38,0,0,100,150,7,7,59,2,41,0,2,2,3,41,4,4,0,53,1
77,173,11,59,7,1,1,100,150,7,7,8,1,43,0,0,0,69,61,1,1,0,100,1
65,170,7,67,12,1,0,60,38,1,5,15,2,40,7,0,0,71,63,3,2,2,71,1
57,154,6,82,12,2,0,63,7,6,5,16,1,63,0,0,0,85,70,3,4,1,88,1
88,161,38,66,11,0,0,100,150,7,7,12,0,25,150,0,0,7,48,1,2,0,33,1
80,161,17,82,9,0,0,100,150,1,1,10,0,70,6,0,0,27,71,0,1,0,50,1
85,148,4,58,42,0,0,100,150,7,7,62,4,9,0,3,3,2,100,3,2,0,24,1
67,136,2,73,15,1,1,89,33,1,6,30,2,56,4,0,0,61,100,3,2,0,100,1
82,476,3,113,25,0,0,100,150,7,7,25,3,8,150,3,3,0,98,4,1,1,29,1
63,213,6,65,14,1,1,72,35,1,4,18,4,33,0,1,1,68,91,3,1,0,80,1
77,496,39,177,17,0,0,95,8,6,6,20,0,65,3,2,1,4,49,2,3,0,50,1
77,255,5,72,40,0,0,100,150,7,7,45,7,22,150,1,1,3,71,7,5,1,46,1
79,70,2,35,6,0,0,86,19,1,6,7,1,43,150,2,2,2,97,1,2,0,75,1
88,141,10,79,14,0,0,100,150,7,7,15,1,14,150,0,0,3,67,3,1,0,57,1
86,188,2,108,26,0,0,100,150,7,7,29,1,14,14,0,0,8,70,7,2,0,63,1
75,356,2,101,32,0,0,97,61,1,6,34,1,18,0,3,3,34,88,11,1,2,60,1
80,217,70,156,10,0,0,90,14,1,6,10,0,50,150,0,0,0,34,0,1,0,0,1
69,91,18,53,36,0,0,100,150,7,7,41,0,33,4,1,1,72,53,8,5,2,87,1
77,206,5,80,27,0,0,96,31,1,6,28,2,43,0,2,2,31,60,5,2,0,70,1
68,178,7,74,30,0,0,97,40,1,6,30,1,23,0,1,1,45,88,4,2,3,50,1
86,315,16,102,18,1,0,95,64,1,5,19,0,53,0,5,2,0,52,1,1,0,29,1
85,176,3,71,29,0,0,100,150,1,1,32,3,34,150,4,4,1,84,2,1,0,50,1
70,256,9,168,35,2,2,86,43,1,4,37,1,14,150,0,0,53,49,12,1,3,72,1
74,352,4,184,25,0,0,100,150,7,7,53,1,16,1,3,3,25,57,9,1,2,56,1
74,213,18,97,20,1,1,90,5,4,4,21,0,29,0,2,1,14,65,3,2,0,50,1
80,382,4,90,21,0,0,95,69,1,6,21,3,0,150,0,0,0,73,3,1,2,23,1
78,220,2,76,52,0,0,98,35,1,6,56,2,33,2,2,2,13,63,5,4,0,69,1
69,139,4,95,28,1,1,91,4,6,6,23,3,50,4,1,1,45,48,5,2,1,88,1
65,128,2,29,3,1,1,100,150,7,7,20,3,50,150,3,3,0,96,0,2,0,50,1
67,166,3,61,24,0,0,96,44,1,6,24,3,54,1,3,3,74,63,5,4,3,100,1
79,75,2,37,15,0,0,100,150,7,7,16,3,44,1,1,1,20,83,2,3,0,56,1
71,196,3,53,27,0,0,96,7,6,6,27,1,22,2,1,1,17,99,4,5,0,60,1
81,133,15,63,20,0,0,100,150,7,7,20,0,35,11,0,0,5,54,1,1,0,25,1
69,200,2,73,20,2,1,92,4,5,5,24,2,38,0,5,5,2,69,6,1,0,64,1
84,541,14,156,21,0,0,100,150,7,7,23,0,22,0,0,0,0,44,1,1,0,29,1
86,290,10,94,25,0,0,100,150,7,7,27,1,56,7,0,0,4,29,2,4,0,60,1
81,142,1,59,15,0,0,100,150,7,7,18,2,56,1,3,3,0,60,1,2,0,50,1
69,127,4,59,35,2,1,95,26,1,3,38,4,37,4,2,2,42,87,6,3,2,75,1
64,60,11,26,6,1,0,86,11,5,5,7,1,43,0,0,0,95,71,2,1,0,75,1
74,148,9,89,17,1,1,95,50,1,2,19,1,47,0,2,1,12,76,1,1,0,40,1
74,310,4,101,8,1,0,89,14,1,5,9,2,67,13,0,0,23,63,1,4,0,71,1
79,414,8,120,32,0,0,97,17,1,6,33,1,36,12,0,0,27,70,2,2,0,29,1
84,347,5,75,25,0,0,100,150,7,7,19,3,44,4,1,1,2,81,2,3,0,56,1
79,30,13,22,2,0,0,100,150,7,7,2,0,0,12,0,0,27,68,1,2,0,50,1
75,195,10,84,19,0,0,100,150,7,7,19,1,16,7,0,0,33,52,3,3,1,75,1
83,294,4,110,22,0,0,86,16,1,6,22,2,45,0,0,0,1,96,2,2,0,36,1
58,39,1,27,12,0,0,100,150,7,7,13,1,54,150,4,4,94,62,3,1,2,80,1
80,400,13,123,34,0,0,100,150,7,7,34,0,47,0,3,3,5,77,3,4,1,67,1
80,136,3,49,24,0,0,100,150,7,7,25,2,20,150,2,2,11,69,2,1,0,38,1
84,168,4,66,15,0,0,100,150,7,7,43,2,40,0,4,2,3,62,3,2,0,86,1
64,162,5,73,4,3,3,67,54,1,2,7,1,33,0,1,1,57,77,2,1,0,100,1
62,232,9,80,31,2,2,84,12,1,6,31,1,23,150,0,0,20,51,5,4,2,71,1
73,94,11,80,34,0,0,94,2,6,6,2,1,26,4,2,2,0,72,0,3,0,18,1
85,282,17,89,13,0,0,100,150,7,7,13,0,46,23,0,0,16,53,3,2,1,71,1
58,522,16,200,27,0,0,89,36,1,6,27,0,19,150,0,0,81,68,15,2,7,81,1
64,216,2,86,18,5,1,60,42,1,4,25,2,36,0,4,3,40,58,1,4,1,60,1
78,149,5,61,43,0,0,100,150,7,7,44,1,47,1,2,2,9,91,3,9,0,80,1
80,329,16,83,20,0,0,95,36,1,6,31,0,14,150,2,2,9,57,3,1,1,40,1
68,276,2,59,27,1,1,100,150,1,7,31,2,42,0,4,4,9,70,3,4,0,47,1
70,234,10,93,27,0,0,89,12,1,6,27,1,44,0,2,2,51,100,5,2,2,70,1
89,464,4,185,15,0,0,100,150,7,7,15,1,13,1,0,0,9,94,6,1,0,78,1
69,153,4,118,16,1,0,72,34,1,5,15,1,11,150,0,0,58,63,8,1,0,82,1
83,345,6,185,19,1,0,95,54,1,5,20,3,20,0,1,1,5,64,7,2,0,64,1
70,202,14,85,49,0,0,96,21,1,6,31,0,38,0,4,4,61,75,6,3,1,82,1
79,247,0,75,47,0,0,100,150,7,7,50,3,14,0,2,2,41,60,6,2,1,100,1
89,125,48,69,7,0,0,100,150,7,7,4,0,14,5,0,0,4,32,2,1,0,100,1
80,117,2,53,22,0,0,96,59,1,6,23,3,17,150,1,1,2,52,2,1,1,25,1
64,178,3,65,31,0,0,100,150,7,7,31,1,10,14,0,0,80,69,15,1,11,84,1
73,418,9,111,18,2,1,90,4,2,2,20,1,25,0,0,0,11,86,2,1,0,43,1
81,113,2,53,15,0,0,100,150,7,7,16,3,0,150,1,1,19,75,4,2,0,44,1
60,375,77,219,6,1,1,86,1,2,2,7,0,57,0,1,0,31,28,1,2,1,33,1
71,193,37,105,9,0,0,78,11,6,6,9,0,44,3,0,0,39,12,2,2,0,67,1
68,196,2,68,11,1,1,92,3,3,3,13,4,54,2,2,2,9,95,1,2,0,75,1
83,189,2,73,56,0,0,100,150,7,7,71,6,20,2,2,1,3,92,3,3,0,43,1
71,373,8,102,12,1,1,100,150,1,7,12,1,33,1,3,3,0,50,0,1,0,25,1
89,344,6,137,19,0,0,100,150,7,7,20,1,25,0,1,1,10,78,3,2,0,63,1
79,140,5,66,13,0,0,100,150,7,7,13,1,23,18,0,0,37,92,1,2,1,80,1
89,136,17,77,7,0,0,100,150,7,7,6,0,14,150,0,0,6,80,2,1,0,75,1
88,194,36,95,12,0,0,100,150,7,7,15,0,53,150,0,0,3,46,1,1,0,50,1
88,238,5,71,16,0,0,100,150,7,7,20,2,45,150,3,3,7,63,3,3,0,50,1
74,198,6,80,22,0,0,100,150,7,7,22,3,27,150,1,1,59,53,4,2,3,67,1
68,217,11,109,24,0,0,88,18,1,6,24,1,17,0,5,4,61,81,5,1,3,50,1
77,188,3,64,27,0,0,100,150,7,7,27,2,15,150,1,1,22,62,2,3,0,45,1
84,150,5,76,24,0,0,100,150,7,7,25,1,16,12,0,0,2,65,4,1,1,45,1
82,172,3,80,38,0,0,100,150,7,7,41,2,20,4,1,1,5,74,6,2,1,64,1
73,121,7,57,20,1,1,100,150,7,7,21,1,50,0,0,0,6,54,2,4,0,86,1
80,146,7,72,40,0,0,100,150,7,7,43,1,26,2,2,2,29,78,2,1,0,60,1
90,282,9,94,17,0,0,100,150,7,7,17,2,6,0,0,0,1,83,1,2,0,8,1
82,190,10,80,28,0,0,100,150,7,7,28,1,21,17,0,0,32,50,2,2,0,50,1
76,186,10,51,10,0,0,100,150,7,7,0,1,20,17,0,0,39,22,5,2,0,100,1
82,213,20,115,27,0,0,100,150,7,7,27,0,22,19,0,0,38,80,3,3,1,75,1
66,169,2,123,32,2,1,81,13,1,2,4,2,42,150,2,2,41,71,7,3,2,85,1
73,304,18,86,14,1,1,100,150,7,7,15,0,43,150,0,0,0,2,1,2,0,43,1
80,149,3,52,16,0,0,100,150,7,7,16,2,63,0,1,1,26,83,1,4,0,83,1
60,264,8,87,21,3,1,77,7,5,5,26,1,50,4,1,1,12,63,1,2,0,75,1
62,21,12,17,4,0,0,100,150,7,7,4,0,50,0,4,3,120,83,1,2,1,75,1
74,215,6,85,29,0,0,100,150,7,7,30,2,30,0,0,0,37,70,6,2,1,89,1
82,144,9,86,14,0,0,100,150,7,7,14,1,43,8,0,0,11,73,0,2,0,67,1
69,33,2,15,13,0,0,100,150,7,7,14,8,21,1,5,5,24,76,5,3,0,67,1
64,181,2,68,17,2,0,82,8,5,5,22,3,55,5,0,0,37,78,2,2,1,57,1
72,210,7,76,25,0,0,92,23,1,6,25,3,40,0,3,3,25,79,3,3,1,50,1
77,198,12,94,18,2,2,95,52,1,2,22,0,41,8,0,0,0,85,0,2,0,67,1
81,183,6,75,45,0,0,100,150,7,7,45,4,44,0,0,0,34,95,1,4,0,40,1
74,107,4,59,22,1,1,96,71,1,2,23,1,17,3,1,1,23,26,2,2,1,44,1
61,344,8,116,41,0,0,98,13,1,6,41,1,20,0,12,12,54,43,13,2,8,67,1
79,81,8,38,10,0,0,100,150,7,7,10,2,20,0,0,0,10,69,2,1,0,50,1
76,164,11,77,16,1,0,88,26,1,5,17,1,12,150,0,0,5,64,1,1,0,25,1
58,305,9,99,36,1,1,100,150,2,7,39,1,68,0,2,2,57,79,5,4,2,75,1
84,338,9,100,41,0,0,100,150,7,7,41,1,17,8,0,0,4,40,2,3,0,18,1
82,169,9,64,27,0,0,100,150,7,7,19,1,15,11,0,0,17,56,4,2,0,30,1
85,141,12,71,14,0,0,100,150,7,7,16,0,21,150,0,0,1,47,2,2,0,44,1
66,66,8,33,16,0,0,94,2,6,6,16,1,44,3,1,1,22,42,2,2,0,57,1
86,201,14,87,17,0,0,94,21,1,6,18,0,33,0,1,1,1,59,2,1,0,33,1
83,344,6,130,65,1,0,95,18,1,5,68,3,18,6,0,0,4,21,5,3,0,31,1
71,207,14,147,26,0,0,89,8,6,6,28,0,36,150,0,0,1,50,3,2,0,64,1
86,199,3,83,21,0,0,100,150,7,7,21,2,43,7,0,0,2,73,5,1,0,75,1
82,233,13,119,37,0,0,100,150,7,7,39,0,23,12,0,0,20,88,5,3,0,47,1
90,325,53,187,14,0,0,100,150,7,7,19,0,14,6,0,0,0,28,1,1,0,11,1
65,184,7,77,24,2,2,88,4,6,2,27,1,46,0,2,2,19,80,1,3,0,44,1
86,139,112,126,2,0,0,100,150,7,7,2,0,0,150,0,0,12,33,1,1,0,100,1
80,173,8,62,17,0,0,100,150,7,7,18,2,67,0,1,1,21,93,3,3,0,100,1
78,207,18,77,9,0,0,100,150,7,7,9,0,44,6,0,0,21,65,2,1,1,75,1
66,263,5,103,33,0,0,94,1,6,6,48,2,32,0,2,2,14,48,7,4,2,61,1
78,218,6,80,48,0,0,100,150,7,7,48,1,56,1,1,1,11,92,3,2,0,56,1
88,342,50,256,7,0,0,100,150,7,7,7,0,0,0,0,0,12,31,3,2,0,60,1
68,295,3,107,20,0,0,90,2,6,6,21,1,24,0,1,1,32,71,4,1,2,56,1
88,300,12,110,19,0,0,100,150,7,7,19,0,42,11,0,0,7,52,2,1,0,50,1
73,251,3,77,33,0,0,100,150,7,7,37,3,35,0,2,2,20,62,7,2,2,69,1
67,319,4,146,27,0,0,93,35,1,6,29,1,41,5,1,1,70,7,5,4,2,77,1
77,473,4,86,40,0,0,100,150,7,7,46,7,10,3,1,1,14,30,9,2,0,55,1
61,111,5,38,14,0,0,100,150,7,7,14,4,29,0,4,4,94,32,8,1,5,90,1
64,98,3,50,31,0,0,97,14,1,6,32,3,56,0,2,2,46,21,4,6,1,83,1
72,290,12,119,45,0,0,100,150,7,7,22,0,28,11,0,0,37,44,12,5,1,78,1
72,348,16,79,36,0,0,100,150,7,7,36,0,31,7,0,0,39,89,4,6,2,67,1
62,118,2,80,22,0,0,75,2,6,6,24,1,38,4,2,2,18,55,5,4,0,71,1
92,211,20,124,33,0,0,100,150,7,7,34,0,15,150,0,0,0,43,2,1,0,27,1
87,241,2,93,17,0,0,100,150,7,7,18,4,17,150,1,1,7,66,5,1,1,50,1
68,186,1,82,22,0,0,96,49,1,6,24,5,29,150,4,4,55,93,8,5,2,81,1
91,254,16,126,15,0,0,100,150,7,7,16,0,50,11,0,0,1,81,1,2,0,75,1
58,128,12,61,29,0,0,97,5,6,6,29,0,45,150,2,2,37,76,6,8,2,82,1
84,196,10,82,12,0,0,100,150,7,7,25,1,17,0,2,2,29,54,5,2,0,64,1
82,311,17,133,18,0,0,100,150,7,7,21,0,22,150,0,0,34,54,4,2,1,60,1
64,166,2,58,14,2,0,89,18,1,5,19,3,58,3,1,1,41,82,3,6,0,82,1
67,214,2,76,31,1,1,100,150,7,7,32,2,13,150,0,0,11,82,6,1,0,37,1
59,48,10,23,21,0,0,100,150,7,7,22,2,43,1,3,2,52,87,5,4,3,75,1
78,169,17,71,34,0,0,100,150,7,7,34,0,35,0,0,0,34,48,2,4,1,55,1
80,296,5,87,31,0,0,100,150,7,7,30,2,16,16,0,0,11,46,8,2,0,56,1
79,45,10,61,22,0,0,95,13,1,6,1,2,41,2,1,1,0,37,2,3,0,50,1
87,408,6,124,24,0,0,100,150,7,7,24,1,17,4,0,0,0,94,1,2,0,33,1
71,107,27,62,9,1,1,90,21,1,2,10,0,40,150,1,1,57,36,3,2,1,100,1
82,197,75,173,12,1,0,93,48,1,5,14,0,7,150,1,1,1,26,6,1,0,67,1
82,229,14,97,21,0,0,100,150,7,7,21,0,14,12,0,0,12,3,2,2,1,31,1
90,233,14,100,20,0,0,100,150,7,7,20,0,35,0,0,0,10,73,4,3,0,54,1
91,397,36,140,21,0,0,100,150,7,7,21,0,19,0,0,0,3,50,1,1,0,22,1
81,244,3,128,54,0,0,98,47,1,6,56,3,41,0,4,4,25,97,6,3,0,90,1
63,117,1,54,35,1,0,87,22,1,5,39,3,59,0,3,3,33,48,3,5,3,62,1
89,168,22,85,31,0,0,100,150,7,7,33,0,36,21,0,0,2,42,2,1,0,33,1
89,521,8,212,8,0,0,100,150,7,7,8,1,0,150,0,0,3,62,2,1,0,33,1
72,183,7,72,23,0,0,100,150,7,7,23,2,26,6,0,0,40,76,11,3,1,88,1
80,198,10,72,25,0,0,100,150,7,7,25,1,24,0,1,1,7,23,1,2,0,50,1
74,99,2,47,15,0,0,81,17,1,6,16,2,50,150,0,0,0,75,0,2,0,33,1
84,213,7,62,19,0,0,100,150,7,7,21,1,32,150,2,2,13,79,4,2,0,50,1
71,96,32,60,9,1,1,100,150,1,1,9,0,11,150,0,0,48,50,2,2,0,100,1
74,206,9,66,16,0,0,100,150,7,7,37,1,25,150,2,2,52,56,6,2,1,73,1
68,385,21,83,20,1,1,95,12,1,3,22,0,36,10,0,0,56,74,6,2,2,80,1
65,236,1,104,30,0,0,84,0,6,6,20,2,13,150,1,1,21,26,7,2,1,50,1
81,17,12,39,12,0,0,100,150,7,7,2,0,15,14,0,0,4,83,4,2,0,67,1
