interest_rate,unpaid_principal_bal,loan_term,loan_to_value,number_of_borrowers,debt_to_income_ratio,borrower_credit_score,insurance_percent,co-borrower_credit_score,insurance_type,m13
4.375,310000,360,78,1,42,634,0,0,0,1
4.625,137000,360,75,1,45,699,0,0,0,1
4.25,155000,360,75,2,25,643,0,711,0,1
4.5,167000,360,72,1,41,682,0,0,0,1
4.375,119000,360,95,2,42,700,30,658,0,1
4.625,236000,240,79,1,33,653,0,0,0,1
4.625,29000,360,75,1,42,734,0,0,0,1
3.75,185000,360,59,2,25,699,0,790,0,1
3.99,270000,360,75,1,42,776,0,0,0,1
4.125,151000,360,74,1,35,737,0,0,0,1
4.25,225000,360,94,1,44,727,30,0,0,1
3.375,360000,180,47,1,43,708,0,0,0,1
4,375000,360,78,2,32,761,0,805,0,1
4.25,417000,360,32,2,42,773,0,796,0,1
4.125,264000,180,80,1,20,647,0,0,0,1
4.875,213000,360,78,1,32,657,0,0,0,1
3.375,41000,120,53,1,27,763,0,0,0,1
4.125,84000,360,80,1,42,788,0,0,0,1
3.875,128000,360,75,1,28,678,0,0,0,1
4,270000,360,78,2,38,723,0,729,0,1
4.25,214000,360,89,1,42,707,25,0,0,1
5,66000,360,80,1,41,703,0,0,0,1
3.5,97000,180,28,2,28,638,0,665,0,1
4,405000,360,59,1,27,686,0,0,0,1
3.875,90000,360,36,1,45,660,0,0,0,1
4.125,250000,360,75,2,42,742,0,719,0,1
4.25,56000,360,80,1,42,773,0,0,0,1
4.625,151000,180,76,1,36,634,0,0,0,1
4.625,156000,360,95,2,29,671,30,677,0,1
4,214000,360,80,1,33,750,0,0,0,1
5.375,102000,360,80,1,38,686,0,0,0,1
4.5,188000,240,70,2,26,723,0,703,0,1
4,246000,360,70,2,40,724,0,690,0,1
4.5,84000,240,80,1,32,757,0,0,0,1
4.875,79000,360,75,2,34,759,0,771,0,1
3.99,72000,180,80,1,43,655,0,0,0,1
4.75,84000,360,75,1,11,754,0,0,0,1
3.99,124000,360,68,1,42,786,0,0,0,1
4.5,248000,360,80,2,39,682,0,661,0,1
4.625,73000,360,75,1,43,708,0,0,0,1
3.75,90000,120,65,1,16,759,0,0,0,1
3.875,50000,360,24,1,32,798,0,0,0,1
4.25,132000,360,95,1,28,746,30,0,0,1
4.375,102000,360,69,1,30,741,0,0,0,1
5.125,220000,360,88,1,37,705,25,0,1,1
3.5,130000,120,52,1,37,752,0,0,0,1
3.875,182000,360,95,2,34,726,30,719,0,1
3.87,201000,360,61,2,42,688,0,713,0,1
4.375,149000,360,85,1,33,738,12,0,0,1
3.875,167000,360,85,1,44,707,12,0,0,1
4.5,57000,360,48,1,33,815,0,0,0,1
3.75,236000,360,80,1,30,732,0,0,0,1
3.875,243000,180,52,1,46,677,0,0,0,1
3.75,100000,180,65,1,29,655,0,0,0,1
5,232000,360,80,2,41,687,0,686,0,1
3.625,139000,180,94,1,41,784,30,0,0,1
4.125,104000,360,80,2,43,724,0,728,0,1
3.875,150000,360,63,1,39,810,0,0,0,1
4.25,308000,360,80,1,43,731,0,0,0,1
3.875,75000,360,48,1,23,682,0,0,0,1
4,74000,360,80,1,31,719,0,0,0,1
4.5,417000,360,74,2,44,700,0,730,0,1
3.5,152000,180,78,1,37,712,0,0,0,1
4.5,47000,120,20,1,37,639,0,0,0,1
4.125,236000,360,49,1,29,731,0,0,0,1
4.125,162000,360,95,1,22,740,30,0,0,1
4,128000,360,80,1,37,778,0,0,0,1
4.25,403000,360,70,2,34,661,0,645,0,1
3.875,308000,360,87,2,30,770,25,785,0,1
4.125,468000,360,60,2,41,720,0,809,0,1
3.99,221000,360,80,1,38,779,0,0,0,1
4,104000,360,57,1,23,818,0,0,0,1
4.75,97000,276,59,1,26,480,0,0,0,1
3.375,75000,180,27,1,32,683,0,0,0,1
2.875,332000,180,79,2,44,662,0,658,0,1
3.5,70000,180,11,1,40,663,0,0,0,1
4.5,82000,360,23,1,42,767,0,0,0,1
4.375,232000,240,75,1,39,674,0,0,0,1
3.875,198000,360,51,2,23,812,0,790,0,0
3.75,300000,360,49,2,32,800,0,755,0,0
3.375,305000,180,52,2,32,811,0,809,0,0
3.875,234000,360,70,2,19,780,0,809,0,0
3.99,153000,240,89,2,18,778,12,773,0,0
3.875,170000,240,72,2,20,762,0,784,0,0
3.25,245000,180,58,2,35,780,0,797,0,0
4,185000,300,37,2,16,797,0,797,0,0
3.75,325000,240,68,2,30,790,0,730,0,0
4,235000,360,79,2,27,798,0,796,0,0
3.875,385000,360,77,2,16,796,0,808,0,0
3.125,125000,180,59,2,36,698,0,790,0,0
3.75,227000,360,60,2,43,789,0,798,0,0
4.25,417000,360,67,2,45,778,0,787,0,0
3.875,389000,360,75,1,35,811,0,0,0,0
4,110000,360,63,1,41,767,0,0,0,0
3.875,99000,120,69,2,42,674,0,693,0,0
3.125,141000,120,80,2,37,739,0,742,0,0
2.875,215000,180,51,2,16,798,0,803,0,0
4,45000,360,51,1,20,712,0,0,0,0
3.98,62000,360,36,1,35,802,0,0,0,0
3.99,358000,360,80,2,28,776,0,739,0,0
4.875,76000,360,80,1,42,745,0,0,0,0
4,370000,360,50,2,40,770,0,700,0,0
3.875,254000,360,65,2,30,780,0,772,0,0
4.5,120000,360,71,2,39,752,0,740,0,0
4,621000,348,46,2,41,804,0,765,0,0
3.875,386000,360,48,2,47,809,0,804,0,0
3.875,200000,360,67,1,26,759,0,0,0,0
3.875,317000,360,49,2,20,758,0,756,0,0
3.25,395000,120,79,1,39,782,0,0,0,0
4,149000,360,75,2,37,801,0,802,0,0
3.375,81000,180,90,2,22,801,12,772,0,0
3.5,160000,180,57,2,18,803,0,817,0,0
3.875,370000,360,64,1,43,763,0,0,0,0
3.375,626000,180,75,2,24,800,0,785,0,0
4.375,52000,360,75,2,45,798,0,798,0,0
4.125,76000,360,64,1,26,802,0,0,0,0
4,178000,360,90,1,43,756,25,0,0,0
4,111000,180,63,2,34,779,0,775,0,0
3.875,159000,360,60,2,27,809,0,809,0,0
3.25,100000,180,40,2,32,780,0,787,0,0
4,225000,240,95,2,30,709,25,770,0,0
4.125,154000,360,75,1,26,704,0,0,0,0
4,238000,360,80,2,32,798,0,712,0,0
4,526000,360,70,1,45,773,0,0,0,0
3.875,200000,360,71,2,35,770,0,805,0,0
3.75,82000,360,70,1,30,0,0,0,0,0
3.5,286000,180,55,1,42,774,0,0,0,0
4,122000,360,90,1,38,749,25,0,0,0
3.25,344000,180,72,2,17,655,0,696,0,0
4.125,290000,240,62,2,41,800,0,781,0,0
3.1,200000,180,67,1,18,790,0,0,0,0
3.125,130000,180,37,2,21,788,0,814,0,0
4,144000,360,77,1,18,820,0,0,0,0
4.5,174000,360,80,2,37,761,0,792,0,0
3.25,102000,120,41,2,16,803,0,819,0,0
4,276000,360,48,2,44,799,0,795,0,0
4.5,220000,360,80,2,26,791,0,775,0,0
4,240000,360,75,1,39,809,0,0,0,0
4.25,59000,360,71,1,13,806,0,0,0,0
3.75,389000,360,60,2,23,801,0,801,0,0
3.94,159000,360,74,2,13,806,0,791,0,0
3,196000,180,42,2,15,698,0,782,0,0
3.875,166000,180,80,1,38,743,0,0,0,0
3.875,164000,360,80,2,28,717,0,763,0,0
3.75,174000,360,72,2,22,807,0,782,0,0
4.25,210000,360,75,2,36,755,0,767,0,0
3.875,90000,360,63,2,36,817,0,815,0,0
3.99,140000,360,90,2,39,772,25,789,0,0
3.99,140000,360,65,2,17,814,0,814,0,0
4.375,152000,360,80,2,19,790,0,790,0,0
4.125,207000,360,74,2,21,770,0,773,0,0
4.125,85000,360,57,2,14,811,0,794,0,0
3.25,100000,180,19,2,19,796,0,799,0,0
3.875,104000,360,80,1,18,771,0,0,0,0
4.375,181000,360,71,2,41,749,0,753,0,0
3.625,145000,180,73,2,18,747,0,773,0,0
3,181000,120,95,2,39,669,25,713,0,0
3.25,109000,180,44,2,9,808,0,800,0,0
4.5,146000,360,75,1,44,701,0,0,0,0
5,120000,360,80,1,27,689,0,0,0,0
3,84000,180,37,1,16,804,0,0,0,0
3.75,380000,360,95,2,38,723,30,729,0,0
3.375,158000,180,43,2,14,800,0,772,0,0
4.375,271000,360,95,1,33,785,30,0,0,0
3.875,151000,360,87,1,36,771,25,0,0,0
3.875,412000,360,80,2,30,797,0,789,0,0
3.875,165000,360,56,2,25,817,0,801,0,0
4,195000,360,51,2,36,808,0,810,0,0
3.875,163000,240,93,1,29,809,25,0,1,0
3.75,138000,180,50,2,42,762,0,751,0,0
4,150000,360,32,2,28,815,0,805,0,0
3.25,77000,180,39,2,14,804,0,803,0,0
4.5,48000,360,80,1,43,704,0,0,0,0
4,70000,180,52,1,40,816,0,0,0,0
4.125,48000,360,80,1,22,756,0,0,0,0
4.124,95000,240,62,2,26,808,0,802,0,0
3.25,277000,120,62,1,37,798,0,0,0,0
4.5,200000,180,37,1,49,774,0,0,0,0
4,172000,360,80,2,26,816,0,792,0,0
4.375,167000,360,56,2,45,730,0,778,0,0
4.625,312000,360,95,2,45,781,30,770,0,0
4.375,117000,360,70,2,34,715,0,744,0,0
4,67000,360,58,1,22,761,0,0,0,0
3.875,152000,240,70,2,36,753,0,759,0,0
3.25,193000,180,84,2,38,675,6,680,0,0
3.375,79000,180,60,1,40,828,0,0,0,0
4.375,131000,360,52,1,30,789,0,0,0,0
3.875,275000,360,53,2,19,685,0,773,0,0
4.625,237000,360,70,2,21,785,0,777,0,0
4,190000,240,65,1,31,630,0,0,0,0
4.125,180000,360,97,1,24,802,30,0,0,0
3.875,288000,360,75,1,29,787,0,0,0,0
3.875,122000,180,80,2,29,659,0,673,0,0
3.25,285000,360,55,2,42,799,0,797,0,0
3.875,230000,360,85,2,25,776,12,790,0,0
3.1,138000,156,68,2,23,767,0,794,0,0
3,189000,120,80,2,43,773,0,773,0,0
3.125,130000,120,46,2,14,812,0,812,0,0
3.25,194000,180,46,2,16,808,0,809,0,0
4,279000,312,72,2,21,811,0,820,0,0
4,626000,360,80,2,48,824,0,816,0,0
3.25,167000,180,68,2,34,713,0,704,0,0
4.375,302000,360,75,2,48,750,0,771,0,0
3.5,142000,180,55,2,30,744,0,781,0,0
4,196000,360,80,2,34,789,0,810,0,0
4.25,128000,360,90,2,16,804,25,812,0,0
4.125,417000,360,59,2,46,758,0,758,0,0
3.75,236000,360,35,2,22,797,0,806,0,0
2.875,190000,180,43,2,28,785,0,791,0,0
3.625,360000,180,91,2,14,778,12,751,0,0
4.75,59000,360,92,1,42,800,30,0,0,0
3.125,109000,120,43,2,19,796,0,787,0,0
4.875,97000,360,76,1,19,688,0,0,0,0
3.25,104000,180,80,2,26,735,0,795,0,0
4.015,142000,360,36,1,40,800,0,0,0,0
3,100000,120,72,1,27,784,0,0,0,0
3.875,189000,360,53,1,16,806,0,0,0,0
4,124000,360,80,1,40,802,0,0,0,0
3.5,55000,180,44,2,46,786,0,777,0,0
2.95,190000,120,49,1,38,804,0,0,0,0
3.75,134000,360,66,1,48,760,0,0,0,0
3.75,121000,240,60,1,46,765,0,0,0,0
4.375,132000,360,80,2,27,776,0,780,0,0
4.875,71000,360,75,1,33,766,0,0,0,0
4.375,109000,360,35,2,31,804,0,811,0,0
3.625,323000,360,95,1,43,765,30,0,0,0
3.25,129000,120,29,2,19,745,0,787,0,0
3.25,90000,180,49,2,41,810,0,810,0,0
3.875,238000,360,80,2,30,779,0,743,0,0
3.875,317000,360,80,2,25,794,0,798,0,0
3.25,240000,180,59,2,38,741,0,696,0,0
3.375,150000,180,80,1,38,708,0,0,0,0
3.875,136000,360,50,1,36,787,0,0,0,0
4.25,206000,360,75,2,43,794,0,704,0,0
3.875,200000,360,80,2,27,783,0,802,0,0
3.75,233000,240,59,1,21,805,0,0,0,0
3.125,53000,180,80,1,19,700,0,0,0,0
3.875,407000,360,84,2,35,778,12,788,0,0
3.167,234000,180,52,2,21,819,0,821,0,0
4.25,220000,360,69,2,27,707,0,804,0,0
3.25,160000,180,77,2,48,787,0,683,0,0
3.875,229000,360,62,2,22,816,0,809,0,0
4,273000,360,44,1,22,817,0,0,0,0
3.25,417000,180,75,2,18,771,0,770,0,0
4.125,230000,360,80,2,36,743,0,791,0,0
3,181000,120,56,2,24,816,0,815,0,0
4.5,45000,180,27,2,20,720,0,752,0,0
3.25,74000,180,75,2,39,780,0,757,0,0
3.875,112000,240,73,1,22,815,0,0,0,0
4,280000,360,80,2,30,807,0,816,0,0
3.125,238000,180,74,2,28,788,0,784,0,0
2.875,282000,180,57,2,10,770,0,761,0,0
3.99,389000,360,68,2,13,803,0,809,0,0
4,400000,360,57,1,43,731,0,0,0,0
4.25,187000,360,80,1,30,732,0,0,0,0
3.99,88000,360,80,1,42,795,0,0,0,0
4,165000,360,38,1,43,811,0,0,0,0
4.125,243000,360,80,2,42,745,0,726,0,0
4.875,164000,360,80,1,34,771,0,0,0,0
3,192000,180,74,2,23,809,0,809,0,0
3.875,173000,360,33,2,19,786,0,804,0,0
3.75,111000,240,52,2,24,777,0,792,0,0
3.875,405000,360,74,2,30,780,0,763,0,0
3.99,406000,360,80,1,38,761,0,0,0,0
3.75,192000,240,57,2,14,674,0,796,0,0
3.99,303000,360,74,2,17,787,0,792,0,0
3.5,79000,180,29,2,44,815,0,785,0,0
3.835,158000,360,43,2,20,809,0,813,0,0
4,185000,360,84,1,39,783,12,0,0,0
3.875,205000,180,56,2,23,816,0,755,0,0
3.875,165000,360,66,2,13,804,0,806,0,0
3.625,325000,360,73,1,23,813,0,0,0,0
3.5,83000,120,45,1,22,802,0,0,0,0
3.875,170000,360,76,2,16,829,0,787,0,0
4.375,150000,360,51,2,45,813,0,796,0,0
3.875,168000,180,53,2,39,800,0,795,0,0
3.875,445000,360,75,2,17,738,0,766,0,0
4.125,315000,360,44,2,16,774,0,807,0,0
5.125,43000,360,80,2,44,758,0,714,0,0
3.75,150000,240,82,1,43,761,6,0,0,0
3.99,90000,240,73,1,22,790,0,0,0,0
3.99,392000,360,90,2,45,758,25,803,0,0
3.938,115000,240,73,2,19,797,0,783,0,0
3.875,120000,360,80,1,31,801,0,0,0,0
4,286000,360,66,2,28,770,0,797,0,0
3.75,166000,360,80,2,23,742,0,773,0,0
3.75,184000,341,77,2,19,787,0,785,0,0
4.125,213000,360,85,1,24,774,12,0,0,0
4.125,160000,360,49,1,44,694,0,0,0,0
3,417000,120,76,2,8,800,0,785,0,0
3,214000,180,78,2,24,729,0,746,0,0
4,255000,360,75,2,26,762,0,771,0,0
5.5,176000,360,80,2,25,685,0,682,0,0
4,136000,360,58,2,23,801,0,760,0,0
3.625,90000,240,33,2,23,790,0,799,0,0
3.503,364000,360,32,1,16,765,0,0,0,0
2.875,312000,120,80,1,16,799,0,0,0,0
4.375,311000,360,77,2,41,797,0,810,0,0
4.125,290000,360,72,1,45,790,0,0,0,0
3.875,160000,360,52,2,23,781,0,791,0,0
3.875,211000,360,64,2,28,768,0,809,0,0
3.75,227000,360,76,1,29,795,0,0,0,0
3.75,265000,240,74,2,44,746,0,783,0,0
4.125,131000,360,75,2,20,814,0,806,0,0
4,75000,360,63,1,36,813,0,0,0,0
3.875,414000,360,75,2,35,751,0,780,0,0
3.5,62000,120,80,2,33,764,0,774,0,0
3.875,91000,360,61,1,30,702,0,0,0,0
4.125,83000,360,80,2,30,780,0,729,0,0
3.875,297000,360,64,1,35,795,0,0,0,0
4,65000,240,78,2,27,772,0,783,0,0
3.625,102000,180,41,1,31,790,0,0,0,0
4.125,396000,360,49,2,50,637,0,625,0,0
3.375,147000,180,22,1,32,809,0,0,0,0
3.75,375000,240,71,1,26,805,0,0,0,0
4,590000,360,73,2,36,755,0,789,0,0
3.875,491000,240,69,2,41,723,0,773,0,0
4,236000,360,80,2,34,787,0,784,0,0
4.25,180000,360,80,1,32,717,0,0,0,0
3.75,200000,240,70,2,31,741,0,725,0,0
3.25,417000,180,37,1,30,783,0,0,0,0
3.75,417000,360,68,2,27,789,0,804,0,0
4.25,156000,360,80,1,21,813,0,0,0,0
3,114000,180,62,2,42,799,0,804,0,0
3.625,135000,180,75,2,35,770,0,725,0,0
3.99,340000,360,84,2,38,799,12,783,0,0
3.875,341000,360,80,1,42,776,0,0,0,0
4,215000,360,33,2,21,782,0,745,0,0
4,344000,360,80,2,39,751,0,706,0,0
3.125,397000,180,80,1,25,790,0,0,0,0
3.625,173000,120,22,1,26,773,0,0,0,0
3.875,269000,360,55,2,36,792,0,752,0,0
3.75,122000,360,63,2,38,813,0,815,0,0
3.75,390000,300,70,2,26,798,0,802,0,0
3.5,230000,120,53,2,44,772,0,780,0,0
3.99,265000,240,76,2,37,781,0,784,0,0
3.875,321000,360,94,2,39,722,30,773,0,0
4,196000,360,68,2,25,800,0,806,0,0
3.25,250000,180,80,1,35,712,0,0,0,0
4.375,232000,360,32,2,28,811,0,790,0,0
3.25,118000,120,32,2,40,797,0,794,0,0
4.375,100000,360,79,2,40,764,0,769,0,0
4,262000,360,69,2,14,774,0,754,0,0
3.438,71000,180,80,2,15,817,0,807,0,0
3.875,308000,360,42,2,40,823,0,771,0,0
3.25,623000,180,73,1,34,708,0,0,0,0
5.125,224000,360,75,1,30,716,0,0,0,0
3.625,272000,120,34,2,26,796,0,813,0,0
3.25,198000,180,63,2,19,794,0,794,0,0
3.75,200000,360,75,2,24,787,0,817,0,0
4.125,390000,360,44,1,37,773,0,0,0,0
3.875,166000,360,75,2,44,801,0,809,0,0
3,150000,120,37,2,20,815,0,809,0,0
4,356000,360,90,2,36,772,25,730,0,0
4,396000,360,80,2,42,762,0,779,0,0
3.875,125000,360,60,2,24,705,0,775,0,0
3.25,221000,180,49,2,19,810,0,811,0,0
4,181000,360,24,2,14,803,0,798,0,0
3.5,340000,360,52,2,43,776,0,760,0,0
4,375000,360,95,1,35,770,30,0,0,0
3.125,70000,180,29,2,9,801,0,803,0,0
3,246000,120,53,1,41,662,0,0,0,0
4.5,144000,360,80,1,41,663,0,0,0,0
4,150000,360,80,1,39,782,0,0,0,0
3.125,128000,180,60,1,16,805,0,0,0,0
4,295000,360,59,2,19,807,0,801,0,0
4.25,78000,360,80,2,26,738,0,782,0,0
3.875,120000,360,80,1,47,757,0,0,0,0
3.625,40000,180,53,1,27,810,0,0,0,0
4.125,155000,360,70,1,30,798,0,0,0,0
4.125,152000,360,90,1,26,812,25,0,0,0
4.25,182000,360,69,2,26,769,0,774,0,0
4.5,241000,360,89,1,35,696,25,0,0,0
3.25,140000,180,76,2,26,811,0,807,0,0
4.125,417000,360,78,2,37,718,0,745,0,0
3.75,124000,240,47,2,28,800,0,759,0,0
3.25,300000,180,45,2,20,791,0,808,0,0
3.875,375000,180,75,1,41,738,0,0,0,0
4.25,166000,360,74,1,42,703,0,0,0,0
3.375,204000,180,88,2,31,799,12,806,0,0
3.125,378000,180,37,2,16,800,0,803,0,0
3.875,80000,180,19,1,19,807,0,0,0,0
2.875,192000,180,69,1,19,813,0,0,0,0
4,400000,360,80,2,36,793,0,799,0,0
4.125,380000,360,68,2,39,764,0,801,0,0
3.25,184000,180,34,2,14,722,0,807,0,0
4.125,338000,360,49,2,24,812,0,812,0,0
4,257000,360,60,2,40,753,0,765,0,0
4.625,102000,360,80,2,35,752,0,790,0,0
3.25,108000,120,65,2,32,718,0,804,0,0
3.875,195000,360,72,2,35,793,0,719,0,0
3.5,126000,180,51,1,24,809,0,0,0,0
3.875,400000,360,73,2,21,807,0,800,0,0
3.49,125000,120,68,1,30,793,0,0,0,0
3.875,185000,360,90,1,29,793,25,0,0,0
4.375,148000,360,80,2,35,802,0,771,0,0
3.375,202000,180,77,2,35,799,0,775,0,0
3.25,106000,180,69,2,28,809,0,803,0,0
3.25,171000,120,32,2,17,791,0,790,0,0
3.25,134000,180,80,2,43,740,0,805,0,0
3.875,200000,360,30,1,44,807,0,0,0,0
4.5,180000,360,79,1,36,722,0,0,0,0
3.875,149000,360,97,2,30,745,35,747,0,0
3.25,142000,180,57,1,21,817,0,0,0,0
4,118000,360,75,1,45,737,0,0,0,0
4.125,290000,360,68,2,49,785,0,768,0,0
4.5,243000,360,65,1,24,800,0,0,0,0
4.375,258000,360,67,1,29,664,0,0,0,0
3.875,288000,360,80,2,35,778,0,755,0,0
4,121000,360,41,2,35,806,0,809,0,0
3.94,353000,360,57,2,23,820,0,820,0,0
4.375,497000,360,56,2,26,798,0,788,0,0
3.875,274000,360,40,1,20,754,0,0,0,0
3.875,115000,360,64,1,39,814,0,0,0,0
3.75,131000,360,52,2,44,762,0,700,0,0
4.875,158000,360,80,2,30,750,0,642,0,0
4.25,121000,180,95,1,24,745,25,0,0,0
2.875,298000,180,57,2,27,799,0,704,0,0
4.25,605000,360,52,2,15,770,0,780,0,0
3.875,130000,360,80,2,41,785,0,765,0,0
3.875,249000,360,52,2,41,805,0,805,0,0
3.75,250000,360,60,2,28,793,0,778,0,0
3.75,395000,180,74,2,12,797,0,736,0,0
3.25,343000,180,74,2,18,798,0,796,0,0
3.5,60000,180,58,2,50,810,0,809,0,0
4.375,94000,360,60,2,31,697,0,702,0,0
4,143000,360,39,2,46,820,0,820,0,0
5,96000,360,80,2,42,733,0,733,0,0
3.875,275000,360,41,1,39,822,0,0,0,0
3.25,259000,180,70,2,43,786,0,794,0,0
3.875,182000,360,70,1,14,819,0,0,0,0
3.875,408000,360,72,2,40,767,0,781,0,0
4.125,184000,360,80,1,49,793,0,0,0,0
4,102000,180,70,1,30,804,0,0,0,0
4.375,91000,360,52,1,28,640,0,0,0,0
4.125,92000,360,80,1,33,772,0,0,0,0
4.25,339000,360,85,1,33,735,12,0,0,0
4,132000,360,95,1,12,733,30,0,0,0
3.25,198000,180,80,2,18,787,0,811,0,0
4,236000,360,95,2,23,718,30,728,0,0
3.625,208000,360,93,1,22,750,30,0,0,0
3.375,71000,180,73,1,24,801,0,0,0,0
3.5,133000,180,60,2,28,801,0,801,0,0
4.125,144000,360,66,1,39,757,0,0,0,0
3.24,78000,120,71,1,16,769,0,0,0,0
4.375,110000,360,67,2,21,773,0,786,0,0
4.75,76000,360,80,2,49,715,0,730,0,0
3.25,78000,180,49,2,42,809,0,809,0,0
3.75,288000,360,61,2,21,784,0,787,0,0
3.5,121000,180,97,2,25,741,35,720,0,0
4,467000,360,90,1,40,761,25,0,0,0
3.875,112000,240,82,2,24,741,6,771,0,0
4.625,40000,300,32,1,23,794,0,0,0,0
3.75,90000,240,36,1,47,741,0,0,0,0
4.375,133000,360,75,2,24,811,0,814,0,0
4.375,80000,180,64,1,32,693,0,0,0,0
4,144000,360,76,1,25,790,0,0,0,0
3.99,417000,360,68,2,22,721,0,718,0,0
4.625,120000,360,75,1,44,812,0,0,0,0
3.5,152000,180,80,1,18,794,0,0,0,0
2.875,107000,180,80,1,38,758,0,0,0,0
3.375,236000,180,80,2,29,809,0,802,0,0
4.19,394000,360,32,2,38,798,0,791,0,0
3.875,80000,180,78,2,37,731,0,790,0,0
4.5,78000,360,80,2,39,761,0,773,0,0
3.902,210000,360,44,2,41,773,0,742,0,0
4.46,191000,360,95,2,38,763,30,760,0,0
3.25,417000,180,69,1,32,780,0,0,0,0
3.289,388000,180,76,1,38,769,0,0,0,0
3.875,219000,360,80,1,39,788,0,0,0,0
3.75,417000,360,78,1,33,798,0,0,0,0
3.625,200000,360,62,1,31,793,0,0,0,0
4.5,120000,360,72,1,43,674,0,0,0,0
3.875,164000,360,80,2,26,820,0,814,0,0
4.125,250000,360,57,1,42,817,0,0,0,0
3.75,417000,360,93,1,40,728,30,0,0,0
4.125,274000,360,30,2,19,783,0,791,0,0
3.25,100000,120,77,1,33,808,0,0,0,0
4,134000,360,67,2,34,784,0,784,0,0
4.25,50000,360,43,2,32,801,0,802,0,0
3.99,157000,360,89,1,41,744,25,0,0,0
3.875,113000,240,32,2,19,776,0,791,0,0
3.5,72000,120,76,2,44,778,0,782,0,0
4,243000,360,47,1,41,743,0,0,0,0
3.75,355000,360,57,1,48,807,0,0,0,0
3.5,150000,180,80,1,31,658,0,0,0,0
4.25,85000,360,60,1,14,819,0,0,0,0
3.375,366000,180,57,1,26,753,0,0,0,0
3.875,90000,360,80,1,36,786,0,0,0,0
4.5,101000,240,60,1,36,673,0,0,0,0
4.375,204000,360,80,2,25,746,0,802,0,0
3.75,177000,240,77,1,26,782,0,0,0,0
4.125,128000,360,75,2,19,791,0,793,0,0
3,224000,180,80,2,22,686,0,701,0,0
4.875,168000,360,93,2,28,800,30,788,0,0
4.125,193000,360,45,2,41,817,0,820,0,0
4.375,145000,300,84,1,42,699,12,0,0,0
3.25,135000,180,54,1,21,749,0,0,0,0
3.75,337000,360,80,2,27,752,0,796,0,0
3.875,192000,360,80,1,19,782,0,0,0,0
3.75,476000,180,80,2,30,768,0,764,0,0
3.25,94000,180,53,2,25,806,0,774,0,0
3.125,98000,180,60,2,21,785,0,767,0,0
4.125,417000,360,94,2,28,701,30,722,0,0
4.125,292000,360,75,1,39,768,0,0,0,0
4.375,230000,360,75,1,42,789,0,0,0,0
4.625,300000,360,66,1,45,783,0,0,0,0
3.25,78000,180,56,1,37,729,0,0,0,0
3.875,260000,360,54,2,17,811,0,787,0,0
3.625,417000,180,36,2,28,803,0,794,0,0
3.625,140000,180,26,2,37,803,0,812,0,0
3.25,180000,180,80,2,39,785,0,684,0,0
3,157000,180,80,1,19,807,0,0,0,0
4,175000,360,70,2,43,802,0,814,0,0
4.375,173000,360,75,1,33,784,0,0,0,0
4.25,260000,360,80,1,28,796,0,0,0,0
3.75,147000,120,70,2,44,814,0,807,0,0
4.25,311000,360,80,2,24,807,0,779,0,0
4.5,320000,360,74,1,42,685,0,0,0,0
4.5,313000,360,95,2,39,778,30,666,0,0
4.375,375000,360,80,2,35,785,0,779,0,0
3.75,170000,360,65,1,35,789,0,0,0,0
3.375,167000,180,61,2,38,728,0,766,0,0
4.125,45000,180,80,1,28,800,0,0,0,0
3.625,417000,180,60,2,9,804,0,789,0,0
3.75,120000,360,72,2,24,781,0,794,0,0
4.375,107000,240,68,2,25,670,0,786,0,0
3.875,84000,360,72,2,28,717,0,742,0,0
3.875,250000,360,48,2,30,783,0,796,0,0
3.25,194000,144,65,2,25,778,0,790,0,0
3.75,352000,360,80,2,37,806,0,797,0,0
4.5,417000,360,65,2,25,699,0,792,0,0
4.5,119000,360,75,2,17,809,0,802,0,0
4.125,284000,360,73,2,15,775,0,832,0,0
3.125,140000,180,27,2,34,765,0,747,0,0
4.75,172000,360,80,2,42,718,0,709,0,0
4.25,100000,360,80,1,13,803,0,0,0,0
3.875,411000,360,42,2,20,664,0,746,0,0
3.25,132000,120,37,2,22,715,0,708,0,0
3.95,413000,360,80,2,32,805,0,805,0,0
3.875,364000,360,80,2,38,796,0,796,0,0
4.125,95000,360,78,1,21,797,0,0,0,0
3.875,290000,240,53,2,34,797,0,797,0,0
4.125,284000,360,90,2,37,714,25,719,0,0
3.875,196000,360,84,2,18,812,12,812,0,0
3.375,100000,120,72,2,28,784,0,787,0,0
3.75,138000,360,80,1,25,755,0,0,0,0
3.375,275000,180,85,2,17,803,6,794,0,0
4,168000,360,80,2,23,816,0,809,0,0
4.625,137000,360,75,1,19,800,0,0,0,0
4.5,24000,240,80,1,18,764,0,0,0,0
3.25,395000,180,33,2,25,784,0,796,0,0
3.125,84000,120,50,2,30,780,0,778,0,0
4.5,417000,360,50,1,41,746,0,0,0,0
3.75,417000,360,77,2,48,777,0,814,0,0
4,354000,360,68,1,10,770,0,0,0,0
4.375,158000,360,43,1,27,803,0,0,0,0
4,600000,360,74,2,36,761,0,761,0,0
3.75,183000,240,90,2,28,775,12,794,0,0
3.875,148000,360,74,2,13,797,0,782,0,0
3.125,289000,120,45,2,14,767,0,792,0,0
4.625,53000,360,41,2,42,718,0,735,0,0
3.125,260000,180,70,2,34,797,0,797,0,0
